,Residual
29,4.706274352
283,0.063369364
513,-0.578268377
659,0.035966308
959,-0.029405569
292,-0.239375472
166,0.113936534
771,-0.15997444
502,-0.207759447
467,0.001878567
65,0.051978769
142,1.112037051
278,0.018721367
842,-0.526665983
588,0.132080009
469,-0.045788324
675,0.202011094
322,-0.047632859
724,-0.03470558
309,2.258110138
310,-0.109434024
835,-2.087249116
336,0.089478413
49,0.1353819
739,0.061159562
2,0.058921869
795,-0.111906359
356,0.092564504
920,-1.907662275
544,0.188925123
350,-0.294795689
1013,-0.06912405
488,0.038947496
667,-0.116441115
33,-0.043401841
31,-0.059166835
233,0.164868337
760,0.192368969
194,-0.127091029
519,-0.047570008
3,-0.690189538
206,0.057749346
438,-0.052934162
817,-0.236939406
997,-0.062197365
110,0.00243536
953,-0.030684526
77,-0.030564218
85,-0.584111601
595,-0.490700306
82,-0.238011867
257,0.006333403
935,-0.102606082
412,-0.064039872
660,0.04156885
527,-16.95719759
930,0.137112069
441,0.06182574
5,-0.009138885
408,-0.209108264
472,-0.037104809
98,-0.113620789
565,-0.171072267
363,0.009147011
884,-0.032788736
269,0.181384857
685,0.005474967
386,-0.193053479
701,0.124507556
415,-17.56339733
897,-0.031436359
119,0.163881382
435,-0.250567121
252,-0.182505067
346,-0.148801123
9,-0.057303875
198,0.083003064
996,-0.043926584
81,0.119666184
923,-0.118422332
483,0.028912548
704,-0.077222795
241,0.26867855
295,3.855947107
213,-0.17494811
730,-0.116904185
365,0.000333952
456,-0.017479539
229,0.031493332
917,-0.135583794
366,0.009332013
811,-0.210098666
664,0.132075383
715,-0.098600597
651,-0.102766366
587,-0.079459635
786,-0.036956961
374,0.03775686
7,0.067257992
156,0.267908967
549,-0.19129414
447,-0.022187196
831,-0.193809639
402,-0.120131637
792,-0.056789428
574,0.021434401
598,-0.446412001
586,-0.087926474
951,0.018169681
703,0.019683121
878,-0.013091629
538,0.163567423
591,0.085279449
720,2.341782817
455,-0.025133162
789,-0.086087899
230,0.24372142
597,0.001560195
832,-0.30080955
214,-0.065449797
79,-0.098657114
149,0.010316131
305,-0.103390556
875,-0.0017829
331,0.014861631
940,-0.004703213
348,0.126113107
551,0.581757804
512,0.020033805
134,0.127210301
558,0.214113537
314,0.028735985
1012,-0.185164346
573,0.208736189
0,-0.706801471
319,0.005419655
719,-0.124105564
555,-0.02788664
624,2.518191288
540,-0.071303343
484,0.177891994
787,-0.074331379
174,2.756459787
126,0.504456373
429,1.901253102
427,-0.009128426
560,-0.168839714
919,0.139010473
91,-0.174193006
956,0.00664529
183,-0.102599391
277,-0.023986244
911,-0.06294482
69,-0.005905366
294,-0.132336222
132,-0.141657476
303,0.182212641
589,-0.120740307
329,0.094703123
145,0.387022721
430,0.000344877
590,0.205082389
136,1.009062021
673,0.04143732
165,0.243886571
28,0.149555462
947,-0.037959601
195,0.0015191
1008,-0.07431708
758,-0.100908997
171,-0.018274029
495,-0.428190811
141,-0.057213991
175,0.001689878
6,-0.16723813
860,-0.180102431
642,-0.179160317
73,-0.307632575
695,-0.059266521
994,0.104210533
240,1.316052402
146,-0.045940573
807,-0.106773645
236,-0.03601183
222,-0.194636883
482,-0.034875314
890,-0.409632332
133,0.215998476
1009,0.035125268
853,-0.146881753
187,-15.93233308
41,0.603268456
1010,2.974957788
109,-0.15689305
933,-0.827574457
56,-0.046346464
536,0.017380486
882,0.212835979
610,-0.052456381
876,-0.007830948
24,-0.195609325
657,-0.148555981
453,0.030064254
539,2.941157289
629,0.116750472
761,0.029209793
943,-0.021254652
342,-0.001361096
51,0.58050223
674,-0.129306759
524,0.252873673
937,-0.017050302
643,0.203213193
267,-0.094605115
545,-0.184708542
723,-0.112787664
970,0.025130978
963,-0.04333972
889,-0.069112115
454,1.796800479
18,-0.156695025
728,0.181847989
490,0.052011737
576,-0.082459049
1017,-0.154154408
371,-0.023344847
83,0.551862312
61,-0.03953285
444,-0.065452834
275,-0.199087135
288,-0.071457541
364,-0.0746309
358,-0.083063191
1005,-1.583053959
281,0.020343953
12,-0.118758619
184,0.212984471
372,0.244289026
499,0.076793948
810,-0.093951588
225,-0.122930749
581,0.244954052
711,0.005848131
593,0.500776125
553,-0.154676706
683,-0.315889816
765,-0.18524053
178,0.235260916
676,0.084962424
638,-0.158616153
596,-0.055107719
528,-0.135159592
397,0.370745034
164,-0.09545556
250,0.258587734
645,-0.146947711
901,2.437420034
681,-0.046189814
379,-0.10792181
416,0.006806355
74,0.050768453
114,3.95996474
578,0.006883324
650,-0.154422665
394,1.955495558
105,-0.250051533
115,-0.064014479
421,0.07335965
721,0.348528296
462,-0.211114917
413,-0.226501724
93,0.300606631
989,0.78444782
90,-0.001087865
340,-0.271011933
1007,-0.049140169
938,-0.091032588
950,-0.10665412
861,-0.006513985
604,-0.042184526
622,0.034115516
95,-0.493206792
11,0.031667084
400,0.125413307
541,-0.03839227
43,-0.194779141
42,0.007753679
332,-0.140882425
168,0.202837991
504,-0.03955692
892,-0.015736378
608,-0.099171533
770,-0.037735032
101,0.187612586
431,-0.133270772
180,-0.419990172
449,-0.052124019
420,0.220946317
846,-0.246616963
898,0.080549808
669,0.028974932
179,-0.046073608
399,0.035974307
688,0.077403533
808,-0.172530956
979,-0.025655922
696,0.110603597
387,-0.069151165
975,-0.603175754
623,0.104462278
260,-8.11236e-05
338,0.141324537
15,0.113717608
640,-0.02733901
327,-0.064282831
900,-0.105794069
224,2.616397568
181,0.02101432
1002,-0.102659962
22,-0.006611077
360,-0.156764047
677,-0.29624188
877,0.009948225
344,2.237714202
436,0.000562175
964,0.977318574
868,-0.043541121
205,-0.244923936
641,-0.191744451
94,-0.051853138
980,0.011180364
68,-0.233235791
633,-0.215358015
287,0.287407124
819,1.14094767
439,0.120765893
154,-0.00961075
75,-40.53341116
982,6.89105e-05
451,0.005034257
190,-0.248312116
274,-0.097628644
238,-0.199261361
492,-0.032375096
118,-0.046654281
833,-0.500339895
518,0.213990387
809,-0.124682242
602,0.06309863
127,-0.002100157
117,0.295173256
478,0.126382064
705,0.022061842
57,0.947888291
686,-0.198690472
928,-0.124189534
373,-0.088266495
271,0.115315525
46,-0.244775214
353,-0.068837253
197,0.050061095
1018,-0.555208048
957,-0.018849755
749,0.078844979
266,0.004679782
448,0.001261814
687,0.067638895
307,-0.17219373
345,-0.00159709
609,0.215912381
985,-0.084036093
